First on CNN: Afghanistan withdrawal investigation launched by House Foreign Affairs Committee: The top Republican on the House Foreign Affairs Committee on Thursday requested from the State Department a vast number of documents related to the Biden administrations withdrawal from Afghanistan marking the official launch of the newly Republican-led pan…, negative
Freezing temperatures kill 78 people in Afghanistan - Reuters: At least 78 people have died of cold in Afghanistan during the countrys worst winter in more than a decade authorities said on Thursday., negative
Australia cancel mens ODI series against Afghanistan in March - Reuters: Australias one-day international (ODI) series against Afghanistan in March has been called off following the Talibans announcement of further restrictions on womens and girls education and employment Cricket Australia said on Thursday., negative
Constantine II last king of Greece dies at 82: The monarchs short rein from 1964-73 coincided with one of the most turbulent periods in Greek history., neutral
British Museum says its in constructive discussions over Parthenon marbles: The British Museum said on Wednesday it was holding constructive discussions with Greece over the Parthenon Sculptures amid renewed speculation that the 2500-year-old marbles could soon be returned to Athens., positive
King Constantine II of Greece obituary: Former Greek ruler who was toppled from the throne in a military coup that led to the abolition of the monarchyBy the standards of the hapless Greek monarchy Constantine II the last king of the Hellenes who has died aged 82 led a comfortable life in exile…, neutral
Greece approves construction of FSRU off Athens - Reuters: Greece has approved the construction of a floating gas and regasification unit (FSRU) off Athens after a fast-track process its development ministry said on Friday., positive
Former King of Greece Constantine II dies at 82 - Reuters: Greeces former King Constantine II whose nine-year reign coincided with one of the most turbulent periods in the countrys political history died on Tuesday aged 82 state website ERT news reported., neutral
Greek trial of 24 rescuers who saved migrants in Med begins: The 24 volunteers are accused of several misdemeanours in a trial that has prompted uproar., negative
Last king of Greece Constantine II dies aged 82: Constantine was forced into exile in 1967 after clashing with military rulers who later abolished monarchyGreece’s former King Constantine II whose nine-year reign coincided with one of the most turbulent periods in the country’s political history has died…, neutral
This Calculator Will Tell You If You Can Afford to Be a Digital Nomad: During the pandemic the rise of remote work visas—also called digital nomad visas—allowed anyone with a flexible remote job to not just work from home but work from anywhere. A digital nomad is someone who travels outside their and their employer’s home cou…, neutral
U.N. calls for charges against aid workers in Greece to be dropped - Reuters.com: The U.N. human rights office on Friday called for charges against the humanitarian workers on trial in Greece to be dropped and said the case had had a chilling effect on humanitarian organisations in the region., positive
Greece extends deadline for Volos port sale process to February 3 - Reuters: Greece has extended by two weeks to February 3 the deadline for expressions of interest in the sale of a majority stake in the port of Volos the countrys privatisation agency HRADF said on Wednesday., neutral
Guyana expects proposal from India for long-term crude purchases - Reuters: Guyana expects to soon receive a proposal from India for long-term purchases of the South American countrys oil President Irfaan Ali said on Tuesday a new attempt to reach a government-to-government deal potentially leading to better sale terms for Guyana., positive
Trinadad & Tobago proposes a Carbbean energy alliance with ... - Reuters: Trinadad & Tobago Energy Minister Stuart Young on Monday proposed a Caribbean energy alliance with neighboring countries Guyana and Suriname that could reshape the regions energy security., positive
Guyana in talks with Qatar UK UAE and India on oil exploration - Reuters: Guyana is in talks with Qatar Britain the United Arab Emirates and India on the possibility of allocating offshore blocks for oil and gas exploration under a bidding round this year President Irfaan Ali said on Monday., positive
Exxon set to order 5th Guyana oil vessel sizing up more blocks - Reuters: Exxon Mobil Corp. <a href=https://www.reuters.com/companies/XOM.N target=_blank>(XOM.N)</a> is preparing to approve its fifth oil production project in Guyana and is considering taking additional exploration acreage the head of its Guyanese operations A…, neutral
India to explore buying oil from Guyana in long-term deal - Reuters: Indias oil minister and Guyanas president have discussed government to government co-operation in Guyanas hydrocarbons sector the Indian government said in a statement on Thursday., positive
Guyana projects state oil revenue to hit $1.63 billion this year - Reuters.com: Guyanas revenue from oil exports and royalties this year is expected to climb 31% to $1.63 billion Finance Minister Ashni Singh said on Monday on higher output from the addition of a third production facility near year-end., positive
Oil & gas producer Hess expects higher spending in 2023 with focus ... - Reuters: U.S. oil and gas producer Hess Corp <a href=https://www.reuters.com/companies/HES.N target=_blank>(HES.N)</a> on Tuesday forecast higher Exploration & Production (E&P) capital and exploratory budget of $3.7 billion for 2023 of which more than 80% will be…, neutral
Fangtooth oil discovery may justify Guyanas 7th platform Hess CEO - Reuters: The Fangtooth oil discovery in Guyanas waters is big enough to potentially require a platform for itself which would be the seventh in the country Hess Corp <a href=https://www.reuters.com/companies/HES.N target=_blank>(HES.N)</a> Chief Executive Offic…, positive
Hess profit tops Wall St estimates on higher crude prices - Reuters: Oil and gas producer Hess Corp <a href=https://www.reuters.com/companies/HES.N target=_blank>(HES.N)</a> on Wednesday beat Wall Street estimates for fourth-quarter profit boosted by higher crude prices as Russias invasion of Ukraine crimped global energ…, positive
Brazil airlifts starving Yanomami tribal people from jungle: The government declares a medical emergency and ex-president Bolsonaro is accused of genocide., negative
Peru recalls ambassador to Honduras for unacceptable interference ... - Reuters Canada: Peru withdrew its ambassador to Honduras Jorge Raffo due to Honduras unacceptable interference in the internal affairs of Peru the South American nations foreign ministry said on Thursday., negative
Honduras extends expands state of emergency meant to fight crime - Reuters: The Honduran government on Saturday extended a state of emergency declaration for 45 days expanding it to additional areas of the country in an effort to fight criminal gangs amid high levels of violence., negative
Honduras declares war against gangs – and for control of popular narrative: Xiomara Castro’s crackdown on gangs is also an attempt to counter allegations the government hasn’t done enough to combat crimeAs dusk fell a helicopter hovered menacingly over a dusty football field where several hundred police officers stood in formation …, negative
Taiwan VP new ruling party boss setting stage for presidential run - Reuters: Taiwan Vice President William Lai was elected as the new chairman of the ruling Democratic Progressive Party (DPP) on Sunday setting the stage for him to run in presidential elections early next year., neutral
U.S. Treasury says consumer leases can qualify for EV tax credits - Reuters: The U.S. Treasury Department said Thursday that electric vehicles leased by consumers starting Jan. 1 can qualify for up to $7500 in commercial clean vehicle tax credits a decision that makes those assembled outside North America eligible., positive
Twice-deported MS-13 gang suspect on El Salvadors most wanted list arrested in Virginia: An El Salvadoran man listed as one of the countrys most wanted criminals was arrested in Virginia earlier this month., positive
Opinion: Trumps immigration policy was a fiasco. Why hasnt Biden fixed it yet?: Former President Donald Trump redefined the nature of asylum in the United States ushering in a raft of cruel initiatives on immigration including a diabolical family separation policy that wrenched children and infants away from their parents as they waite…, negative
Explainer: Why are migrants crossing the U.S.-Mexico border in ... - Reuters.com: U.S. President Joe Biden is visiting the U.S.-Mexico border for the first time since he took office in January 2021 on Sunday ahead of a visit to Mexico and after <a href=/world/us/biden-lay-out-new-cuba-nicaragua-haiti-migrant-policy-border-speech-2023-01-…, neutral
Peru pulls ambassador from Honduras amid regional criticism: Peru has struggled with diplomatic isolation as left-wing governments criticise its crackdown on protesters., neutral
Daughter of former US intelligence director guilty of murder: The daughter of former U.S. intelligence director John Negroponte has been found guilty of fatally stabbing a 24-year-old man after a drunken argument inside a Maryland home, negative
Iranian chess referee spars with governing body over womens ... - Reuters.com: Iranian chess referee Shohreh Bayat says a gesture of solidarity with female compatriots at a tournament in Iceland has caused a feud with the games global body and seen her kicked off a commission., negative
Sara Björk Gunnarsdóttir hails landmark maternity pay ruling as ‘wake-up call’ for football: <ul><li>Iceland captain wins pay claim against former club Lyon</li><li>Fifpro union helped player to fight for pregnancy rights</li></ul>The Iceland captain Sara Björk Gunnarsdóttir has won her maternity claim against Lyon after she was not paid her full sal…, positive
A passenger on a Celebrity cruise was indicted over an alleged sexual assault involving a crew member: A grand jury has charged Daniel Farias of Bloomington Minnesota with the sexual assault of a male crew member on a cruise last August., negative
Experience: I am the tallest woman in the world: My rare genetic condition makes travel tough but last year I took a plane for the first time – lying horizontallySince I was a little girl growing up in Safranbolu Turkey I’ve dreamed of exploring the world – from the sandy beaches of California to the nor…, neutral
EU tourist stays neared pre-pandemic levels in 2022 - Eurostat - Reuters: The number of nights spent in tourist accommodation in the European Union in 2022 approached pre-pandemic levels the blocs statistics office Eurostat said on Wednesday confirming the sectors recovery path after the COVID-19 pandemic., positive
Icelands Gunnarsdottir wins maternity pay claim against Lyon - Reuters: Icelands Sara Bjork Gunnarsdottir won her claim against former club Olympique Lyonnais after she was not paid her full salary during her pregnancy players union FIFPRO said on Tuesday., positive
The world is one step closer to making a business out of vacuuming carbon dioxide from the sky: Climeworks which makes technology for pulling carbon dioxide from the air hit a milestone when a third-party auditor verified the companys process., neutral
Geothermal energy poised for boom as U.S. looks to follow Iceland’s lead: Traditionally geothermal energy has only been economical in places like Iceland where heat and water are close to the Earth’s surface. Recent technological..., positive
Ezra Miller pleads guilty to unlawful trespassing in Vermont: Actor will be subject to a $500 fine and a year of probation for breaking into a neighbor’s home and stealing liquorThe actor Ezra Miller has pleaded guilty to unlawful trespassing in Vermont after being charged with stealing liquor from a neighbor’s home in …, negative
Tesla needs to separate itself from Elon Musks personality to win back investors after 75% crash NYUs dean of valuation says: Youre no longer buying a company youre buying a human being Aswath Damodaran said of Tesla and Elon Musk., negative
How drones could be the future of Indian farming: Companies in India are encouraging farmers to switch to drones - but is that working?, neutral
Himachal Pradesh: Thousands despair as India Adani plants shut down: Many locals in Indias Himachal Pradesh state say that they have lost their only source of income., negative
Man saved from being pulled under moving train in India: A soldier from Indias Railway Protection Force rescued a man who fell from a train in eastern India., positive
India and Pakistan came close to nuclear war: Pompeo: US officials helped avert a nuclear conflagration in 2019 former Secretary of State Mike Pompeo says., negative
Jharkhand: India bans tourism at holy Jain site after protests: Sammed Shikharji is an important pilgrimage site for the Jain community and falls in an eco-sensitive zone., negative
Pele: When India fell in and out of love with the wizard of football: Mass hysteria gripped the city of Kolkata when Pele arrived in 1977 to play his first match in India., negative
INDIA RUPEE Rupee searches for direction around familiar ... - Reuters India: The Indian rupee briefly rose against the dollar above a level thats being closely watched by traders but was unable to pierce it convincingly., positive
India investigates Food Corporation officials for possible corruption ... - Reuters India: Indias federal police are investigating officials of the state-run Food Corporation of India (FCI) for possible corruption in the purchase and distribution of grains a government source told Reuters on Wednesday., negative
Surendran Pattel: The US judge who once made cigarettes in India: Surendran K Pattels inspiring rise from a life of grinding poverty has made headlines in India., neutral
Marion Biotech: Uzbekistan links child deaths to India cough syrup: The latest allegation comes weeks after The Gambia blamed Indian syrups for child deaths., negative
Analysis: Banning sex outside marriage tests Indonesias relationship with democracy: When Indonesia passed controversial amendments to its criminal code earlier this month one aspect above all others dominated the headlines: the criminalization of sex outside marriage., negative
Indonesia c.bank sees 2022 Q4 GDP growth at 4.81% - Reuters: Indonesias economic growth in the fourth quarter of 2022 may have slowed to 4.81% on a yearly basis from 5.72% in the previous three months according to a presentation made by central bank governor Perry Warjiyo on Tuesday., positive
Indonesia soccer stampede trial begins with police match ... - Reuters.com: An Indonesian court on Monday began a trial of a handful of police officers and soccer match organisers on charges of criminal negligence for their role in one of the worlds deadliest soccer stadium stampedes in Java last October., negative
Tesla nears deal to build production facilities in Indonesia ... - Reuters: Tesla Inc <a href=https://www.reuters.com/companies/TSLA.O target=_blank>(TSLA.O)</a> is nearing a preliminary deal to build production facilities in Indonesia with a capacity of one million units Bloomberg News <a href=https://www.bloomberg.com/news/ar…, neutral
Indonesia president says strongly regrets past rights violations in ... - Reuters: Indonesian President Joko Widodo acknowledged on Wednesday a series of incidents amounting to gross human rights violations had taken place in his countrys past including the bloodshed and arrests that took place in 1965 and 1966., negative
Indonesia senior minister: investment talks with Tesla still ongoing - Reuters: Investment negotiations between Indonesia and U.S. carmaker Tesla <a href=https://www.reuters.com/companies/TSLA.O target=_blank>(TSLA.O)</a> are still ongoing senior minister Luhut Pandjaitan said on Thursday following reports that the Southeast Asian …, neutral
Indonesia issues emergency regulation to replace controversial job ... - Reuters: Indonesias President Joko Widodo has signed an emergency regulation to replace the controversial job creation law his chief economics minister said on Friday a law that the Constitutional Court had ruled was flawed in 2021., negative
BASF Eramet to finalise partnership for Indonesia nickel smelter ... - Reuters: Germanys BASF <a href=https://www.reuters.com/companies/BASFn.DE target=_blank>(BASFn.DE)</a> and French mining company Eramet <a href=https://www.reuters.com/companies/ERMT.PA target=_blank>(ERMT.PA)</a> are finalising a partnership deal to invest i…, neutral
Indonesia president eyes cabinet reshuffle in coming days - Reuters: Indonesian President Joko Widodo said he may reshuffle his cabinet in the next few days as some political sources bet on a last major realignment of his government to complete programmes ahead of elections due to be held in 2024., neutral
Indonesia formulates incentives to keep FX earnings onshore ... - Reuters: Indonesia is formulating incentives for exporters to keep their foreign exchange earnings onshore for at least three months the chief economics minister said on Thursday., neutral
Flight PS752: Families of victims met with harassment from Iran: Canadian intelligence is probing hostile state actors who are intimidating Iranian dissidents., negative
Executions arent new in Iran but this time theyre different: The Islamic Republic of Iran has long ranked among the worlds top executioners. But with the recent death sentences handed out to protesters critics say the regime has taken capital punishment to a new level., negative
Iran protests: Woman Life Freedom inspires dance music album: Two Iranian DJs hope their electronic compilation will bring more support to protesters back home., positive
Iran has amassed enough material for several nuclear weapons says IAEA chief: Diplomatic efforts to prevent Iran developing a nuclear weapon should restart said International Atomic Energy Agency chief Rafael Grossi who warned that Tehran has amassed enough material for several nuclear weapons., negative
